sex,sex_label,age_group,age_group_label,weight_class_kg,year,result_count,squat_sample_size,avg_squat_kg,bench_sample_size,avg_bench_kg,deadlift_sample_size,avg_deadlift_kg,dataset_updated
M,Males,sub_junior,Sub-Junior (up to 18),30,2022,7,7,22.14,7,15.5,7,38.36,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),30,2023,3,3,28.33,3,17.5,3,45.83,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),30,2024,8,8,30.38,8,18.0,8,50.88,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),30,2025,5,5,27.6,5,18.0,5,48.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),33,2024,2,2,47.5,2,23.75,2,65.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),33,2025,1,1,42.5,1,20.0,1,65.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),33,2026,1,1,30.0,1,15.0,1,40.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),35,2022,1,1,27.5,1,20.0,1,40.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),35,2023,1,1,33.0,1,17.5,1,52.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),35,2024,6,6,35.92,6,19.58,6,53.75,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),35,2025,3,3,40.0,3,21.17,3,61.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),35,2026,3,3,27.83,3,17.83,3,53.33,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),37,2023,1,1,42.5,1,17.5,1,62.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),38,2024,4,4,67.5,4,35.63,4,85.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),40,2022,1,1,52.5,1,30.0,1,75.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),40,2023,5,5,30.4,5,21.0,5,52.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),40,2024,2,2,42.75,2,24.25,2,57.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),40,2025,6,6,40.33,6,24.08,6,61.67,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),40,2026,4,4,43.13,4,23.88,4,64.13,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),43,2024,2,2,72.5,2,42.5,2,90.25,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),44,2022,1,1,55.0,1,30.0,1,76.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),44,2024,8,8,43.5,8,27.75,8,60.31,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),44,2026,3,3,43.5,3,25.83,3,64.17,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),46,2024,6,6,71.25,6,44.17,6,87.08,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),47,2023,6,6,45.0,6,23.75,6,67.08,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),47,2024,3,3,43.33,3,25.0,3,69.17,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),48,2022,1,1,90.0,1,55.0,1,102.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),48,2023,5,5,52.0,5,30.0,5,71.2,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),48,2024,3,3,62.67,3,34.17,3,84.17,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),48,2025,8,8,60.0,8,32.56,8,74.38,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),48,2026,2,2,32.5,2,23.75,2,53.75,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),49,2024,1,1,50.0,1,35.0,1,65.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),53,2022,93,93,97.96,93,59.82,93,124.38,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),53,2023,155,155,96.71,155,59.37,155,124.65,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),53,2024,232,232,103.48,232,64.92,232,130.71,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),53,2025,172,172,111.93,172,67.62,172,136.08,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),53,2026,131,131,108.6,131,68.33,131,136.12,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),57,2025,1,1,62.5,1,30.0,1,77.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),59,2022,229,229,119.91,229,75.04,229,148.08,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),59,2023,462,462,123.66,461,77.02,462,153.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),59,2024,512,512,131.83,512,81.87,512,161.65,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),59,2025,425,425,135.78,425,84.69,425,165.55,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),59,2026,220,220,134.7,220,85.63,220,164.18,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),66,2022,465,465,139.65,464,89.44,465,171.79,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),66,2023,844,844,143.82,844,88.98,844,175.18,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),66,2024,1010,1010,149.16,1010,92.78,1010,178.93,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),66,2025,957,957,151.67,957,95.13,957,181.27,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),66,2026,465,465,151.91,465,95.88,465,182.44,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74,2022,800,800,154.58,800,98.03,800,186.98,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74,2023,1370,1370,160.5,1369,98.89,1369,192.05,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74,2024,1589,1589,165.44,1589,102.9,1589,195.07,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74,2025,1547,1547,168.79,1547,106.34,1547,197.26,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74,2026,753,753,169.83,753,106.78,753,197.41,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74+,2022,11,11,179.09,11,107.95,11,196.82,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74+,2023,7,7,195.0,7,120.36,7,223.21,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74+,2024,1,1,82.5,1,40.0,1,102.5,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),74+,2025,1,1,110.0,1,42.5,1,120.0,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),83,2022,971,971,170.01,971,106.83,971,202.48,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),83,2023,1515,1515,175.34,1515,108.86,1515,205.2,2026-08-31
M,Males,sub_junior,Sub-Junior (up to 18),83,2024,1810,1810,179.5,1810,111.5,1810,208.57,2026-08-31
